time_utc,open,high,low,close,volume
2025-05-28 00:00:00,21470.0,21470.0,21466.5,21466.75,237.0
2025-05-28 00:00:05,21466.5,21468.0,21466.0,21467.5,43.0
2025-05-28 00:00:10,21467.25,21467.5,21463.75,21464.0,158.0
2025-05-28 00:00:15,21464.0,21464.5,21461.75,21462.5,105.0
2025-05-28 00:00:20,21462.0,21465.25,21462.0,21464.0,107.0
2025-05-28 00:00:25,21463.25,21463.75,21462.0,21463.5,58.0
2025-05-28 00:00:30,21464.0,21464.0,21461.25,21462.5,53.0
2025-05-28 00:00:35,21462.25,21464.25,21462.25,21464.0,27.0
2025-05-28 00:00:40,21463.75,21464.25,21463.5,21463.75,19.0
2025-05-28 00:00:45,21464.0,21464.25,21464.0,21464.25,8.0
2025-05-28 00:00:50,21464.0,21465.0,21463.75,21464.5,67.0
2025-05-28 00:00:55,21464.25,21466.75,21464.0,21466.0,59.0
2025-05-28 00:01:00,21465.75,21466.5,21465.0,21466.0,39.0
2025-05-28 00:01:05,21466.0,21468.75,21465.75,21468.0,76.0
2025-05-28 00:01:10,21467.75,21468.25,21466.25,21466.5,48.0
2025-05-28 00:01:15,21467.25,21467.25,21465.5,21467.0,32.0
2025-05-28 00:01:20,21466.75,21467.25,21466.25,21467.25,9.0
2025-05-28 00:01:25,21466.75,21467.5,21466.5,21467.25,10.0
2025-05-28 00:01:30,21466.75,21468.25,21466.75,21468.0,12.0
2025-05-28 00:01:35,21468.25,21468.25,21467.5,21468.0,11.0
2025-05-28 00:01:40,21468.25,21468.25,21464.25,21464.25,55.0
2025-05-28 00:01:45,21464.5,21465.25,21464.25,21464.75,20.0
2025-05-28 00:01:50,21464.25,21465.0,21463.5,21463.5,31.0
2025-05-28 00:01:55,21463.5,21463.5,21462.75,21463.5,19.0
2025-05-28 00:02:00,21463.0,21464.0,21462.75,21462.75,32.0
2025-05-28 00:02:05,21462.25,21462.75,21461.25,21462.25,38.0
2025-05-28 00:02:10,21462.0,21462.5,21460.5,21461.5,75.0
2025-05-28 00:02:15,21461.75,21462.25,21461.25,21461.5,19.0
2025-05-28 00:02:20,21462.0,21462.25,21461.25,21461.5,26.0
2025-05-28 00:02:25,21461.25,21461.75,21461.0,21461.25,13.0
2025-05-28 00:02:30,21461.0,21462.0,21460.75,21461.0,22.0
2025-05-28 00:02:35,21461.25,21462.0,21460.75,21461.75,31.0
2025-05-28 00:02:40,21461.0,21462.0,21461.0,21462.0,8.0
2025-05-28 00:02:45,21462.0,21462.5,21461.0,21462.25,33.0
2025-05-28 00:02:50,21461.25,21462.0,21461.0,21461.75,11.0
2025-05-28 00:02:55,21462.0,21462.25,21461.5,21461.75,9.0
2025-05-28 00:03:00,21462.0,21463.5,21461.5,21463.0,69.0
2025-05-28 00:03:05,21463.0,21464.25,21462.75,21462.75,40.0
2025-05-28 00:03:10,21463.0,21464.0,21462.25,21463.0,18.0
2025-05-28 00:03:15,21463.75,21463.75,21462.25,21463.0,20.0
2025-05-28 00:03:20,21463.5,21464.0,21462.75,21462.75,20.0
2025-05-28 00:03:25,21462.5,21463.5,21462.5,21463.5,13.0
2025-05-28 00:03:30,21463.5,21463.5,21461.5,21461.75,24.0
2025-05-28 00:03:35,21461.75,21462.75,21461.0,21462.25,27.0
2025-05-28 00:03:40,21462.5,21463.75,21462.25,21463.75,15.0
2025-05-28 00:03:45,21464.0,21464.75,21463.75,21464.0,25.0
2025-05-28 00:03:50,21464.25,21464.75,21463.25,21464.75,18.0
2025-05-28 00:03:55,21464.5,21465.0,21464.25,21464.5,14.0
2025-05-28 00:04:00,21464.25,21466.0,21464.25,21465.0,37.0
2025-05-28 00:04:05,21465.25,21466.0,21465.0,21465.5,11.0
2025-05-28 00:04:10,21465.0,21466.0,21465.0,21466.0,19.0
2025-05-28 00:04:15,21465.0,21466.0,21464.5,21465.25,20.0
2025-05-28 00:04:20,21465.5,21465.75,21465.25,21465.75,3.0
2025-05-28 00:04:25,21465.0,21465.0,21464.25,21464.25,12.0
2025-05-28 00:04:30,21463.5,21464.0,21462.5,21463.0,17.0
2025-05-28 00:04:35,21463.0,21463.25,21463.0,21463.25,2.0
2025-05-28 00:04:40,21462.75,21463.75,21462.5,21463.25,10.0
